actividad;area;id
MEC01;MECANICA;1
MEC02;MECANICA;2
MEC03;MECANICA;3
MEC04;MECANICA;4
MEC05;MECANICA;5
MEC06;MECANICA;6
MEC07;MECANICA;7
MEC08;MECANICA;8
MEC09;MECANICA;9
MEC10;MECANICA;10
MEC11;MECANICA;11
MEC12;MECANICA;12
MEC13;MECANICA;13
MEC14;MECANICA;14
MEC15;MECANICA;15
MEC16;MECANICA;16
MEC17;MECANICA;17
MEC18;MECANICA;18
MEC19;MECANICA;19
MEC20;MECANICA;20
MEC100;MECANICA;21
ELE01;ELECTRICIDAD;22
ELE02;ELECTRICIDAD;23
ELE03;ELECTRICIDAD;24
ELE04;ELECTRICIDAD;25
ELE05;ELECTRICIDAD;26
ELE06;ELECTRICIDAD;27
ELE07;ELECTRICIDAD;28
ELE08;ELECTRICIDAD;29
ELE09;ELECTRICIDAD;30
ELE10;ELECTRICIDAD;31
ELE11;ELECTRICIDAD;32
ELE12;ELECTRICIDAD;33
ELE13;ELECTRICIDAD;34
ELE14;ELECTRICIDAD;35
ELE15;ELECTRICIDAD;36
ELE16;ELECTRICIDAD;37
ELE17;ELECTRICIDAD;38
ELE18;ELECTRICIDAD;39
ELE19;ELECTRICIDAD;40
ELE20;ELECTRICIDAD;41
LLA01;LLANTAS;42
LLA02;LLANTAS;43
LLA03;LLANTAS;44
LLA04;LLANTAS;45
LLA05;LLANTAS;46
LLA06;LLANTAS;47
LLA07;LLANTAS;48
LLA08;LLANTAS;49
LLA09;LLANTAS;50
LLA10;LLANTAS;51
LLA11;LLANTAS;52
LLA12;LLANTAS;53
LLA13;LLANTAS;54
LLA14;LLANTAS;55
LLA15;LLANTAS;56
LLA16;LLANTAS;57
LLA17;LLANTAS;58
LLA18;LLANTAS;59
LLA19;LLANTAS;60
LLA20;LLANTAS;61
CAR01;CARROCERIA;62
CAR02;CARROCERIA;63
CAR03;CARROCERIA;64
CAR04;CARROCERIA;65
CAR05;CARROCERIA;66
CAR06;CARROCERIA;67
CAR07;CARROCERIA;68
CAR08;CARROCERIA;69
CAR09;CARROCERIA;70
CAR10;CARROCERIA;71
CAR11;CARROCERIA;72
CAR12;CARROCERIA;73
CAR13;CARROCERIA;74
CAR14;CARROCERIA;75
CAR15;CARROCERIA;76
CAR16;CARROCERIA;77
CAR17;CARROCERIA;78
CAR18;CARROCERIA;79
CAR19;CARROCERIA;80
LUB01;LUBRICACION;81
LUB02;LUBRICACION;82
LUB03;LUBRICACION;83
LUB04;LUBRICACION;84
LUB05;LUBRICACION;85
LUB06;LUBRICACION;86
LUB07;LUBRICACION;87
LUB08;LUBRICACION;88
LUB09;LUBRICACION;89
LUB10;LUBRICACION;90
LUB11;LUBRICACION;91
LUB12;LUBRICACION;92
LUB13;LUBRICACION;93
LUB14;LUBRICACION;94
LUB15;LUBRICACION;95
IMA01;IMAGEN;96
IMA02;IMAGEN;97
IMA03;IMAGEN;98
IMA04;IMAGEN;99
IMA05;IMAGEN;100
IMA06;IMAGEN;101
IMA07;IMAGEN;102
IMA08;IMAGEN;103
IMA09;IMAGEN;104
IMA10;IMAGEN;105
IMA11;IMAGEN;106
IMA12;IMAGEN;107
IMA13;IMAGEN;108
IMA14;IMAGEN;109
IMA15;IMAGEN;110
IMA16;IMAGEN;111
IMA17;IMAGEN;112
IMA18;IMAGEN;113
IMA19;IMAGEN;114
IMA20;IMAGEN;115
