especialidad;area;id
ALINEACION;LLANTAS;1
ALTO_VOLTAJE;ELECTRICIDAD;2
BAJO_VOLTAJE;ELECTRICIDAD;3
BATERIAS;ELECTRICIDAD;4
CHAPA_LATONERIA;CARROCERIA;5
COMUNICACIONES;ELECTRICIDAD;6
DIRECCION;MECANICA;7
FRENOS;MECANICA;8
HABITACULO;CARROCERIA;9
LAVADO;IMAGEN;10
LLANTAS;LLANTAS;11
LUBRICACION;LUBRICACION;12
MOTRIZ;MECANICA;13
NEUMATICO;MECANICA;14
PINTURA;IMAGEN;15
PUERTAS;CARROCERIA;16
REFRIGERACION;MECANICA;17
RODAJE;MECANICA;18
SUSPENSION;MECANICA;19
VIDRIOS;CARROCERIA;20
ATT;INSTRUMENTOS;21
INSTRUMENTOS;INSTRUMENTOS;22
