servicio;subtotal;factor;tipo_servicio;id
SRVCHACORLAMINAESTRIBO;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;1
SRVFABLAM;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;2
SRVREPPUE;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;3
SRVREPTORNIQUETE;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;4
SRVINSPANTALLA;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;5
SRVDESEQUIPOS;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;6
SRVDOBCHA;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;7
SRVINSMICRO;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;8
SRVLLAREPMAYPADRON;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;9
SRVLLAREPMAYBUSETON;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;10
SRVLLAREPMAY;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;11
SRVLLAREPMEN;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;12
SRVPULVID;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;13
SERRECROSCOM;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;14
SERRECROSTIM;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;15
SERCAMACRIDISTOR;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;16
SRVREVPRE;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;17
SERRECROSCOMP;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;18
SERRECDISFRE;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;19
SERSUMTINPEN;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;20
SRVREPSUS;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;21
SRVFABCOM;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;22
SRVREPTAPSIL;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;23
SRVDESEQUIPOS;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;24
SRVREPTAPSIL;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;25
SERCAMTOUSCRUL;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;26
SERRECTECROS;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;27
SERRECROSTOP;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;28
SRVSUMLAMPF06;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;29
SRVREPESCPS1;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;30
SERCAMANTGPRS;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;31
SRVSUMINSBRATOR;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;32
SRVSUMDISACRITOR;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;33
SRVSUMLAMPF05;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;34
SRVSUMLAMPF06MAR;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;35
SRVSUMLAMPF07;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;36
SRVSUMLAMPM01;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;37
SRVREPCALFRE;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;38
REPSOPBMBALVT;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;39
SERRECTECROSMOT;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;40
SERRECTECROSMOT;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;41
SERREPESTFLDPM02;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;42
SERRECTECROSBASEST;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;43
SERRECROSELE;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;44
SERREPPALNIVGUAYA;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;45
SERREPVALAIRINT;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;46
SERSUMEMPVALRES;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;47
SERSUMINSNIVAMOR;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;48
SERREPCORSILOPE;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;49
SERSUMCJNTVAROLT;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;50
SRVSUMVALALTGNRKB;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;51
SERRECROSMECEJE;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;52
SERMANLUBBAL;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;53
SRVSUMCAMDISTOR;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;54
SERACTFMWBVDR;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;55
SRVREPROSAMOR;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;56
SRVREPVIGSUSP;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;57
SERFABGUA;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;58
SRVREPCONS;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;59
CAR01;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;60
SRVREPDEFBYD;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;61
SRVREPVID;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;62
SERMANENFCOM;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;63
SRVREPTAPSILLOP;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;64
SRVRECROSSEN;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;65
SRVRECUROSDIS;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;66
SRVALIXC;(SUBTOTAL IGUAL);1;SERVICIO CORRECTIVO;67
SRVLAVINTE;Qty * Costo unitario *1.019;1.019;SERVICIO COSTO FIJO;68
SRVLAVINTEBUSETON;Qty * Costo unitario *1.019;1.019;SERVICIO COSTO FIJO;69
SRVLLANMES;Qty * Costo unitario *1.19;1.19;SERVICIO COSTO FIJO;70
